,Name,Awards,Tittles,Year
0,Johnny Depp,Nominee Oscar,Best Performance by an Actor in a Leading Role,2008
1,Johnny Depp,Nominee Oscar,Best Performance by an Actor in a Leading Role,2005
2,Johnny Depp,Nominee Oscar,Best Actor in a Leading Role,2004
3,Johnny Depp,Nominee Saturn Award,Best Actor,2008
4,Johnny Depp,Nominee Saturn Award,Best Actor,2005
5,Johnny Depp,Nominee Saturn Award,Best Actor,2004
6,Johnny Depp,Nominee Saturn Award,Best Actor,2002
7,Johnny Depp,Nominee Saturn Award,Best Actor,2000
8,Johnny Depp,Winner Blockbuster Entertainment Award,Favorite Actor - Horror,2000
9,Johnny Depp,Nominee BAFTA Children,Best Feature Film,2012
10,Johnny Depp,Nominee BAFTA Film Award,Best Performance by an Actor in a Leading Role,2005
11,Johnny Depp,Nominee BAFTA Film Award,Best Performance by an Actor in a Leading Role,2004
12,Johnny Depp,Nominee British Independent Film Award,Best Actor,2005
13,Johnny Depp,Nominee Critics Choice Award,Best Actor,2016
14,Johnny Depp,Nominee Critics Choice Award,Best Actor,2008
15,Johnny Depp,Nominee Critics Choice Award,Best Acting Ensemble,2008
16,Johnny Depp,Nominee Critics Choice Award,Best Actor,2005
17,Johnny Depp,Nominee Critics Choice Award,Best Actor,2004
18,Johnny Depp,Nominee Palme d,None,1997
19,Johnny Depp,Nominee Golden Camera,None,1997
20,Johnny Depp,Winner Honorary C,None,1999
21,Johnny Depp,Nominee CFCA Award,Best Actor,2004
22,Johnny Depp,Nominee CFCA Award,Best Actor,1995
23,Johnny Depp,Nominee DFWFCA Award,Best Actor,2015
24,Johnny Depp,Nominee DFWFCA Award,Best Actor,2005
25,Johnny Depp,Nominee DFWFCA Award,Best Actor,2004
26,Johnny Depp,Nominee Golden Globe,Best Performance by an Actor in a Motion Picture - Comedy or Musical,2011
27,Johnny Depp,Nominee Golden Globe,Best Performance by an Actor in a Motion Picture - Comedy or Musical,2011
28,Johnny Depp,Winner Golden Globe,Best Performance by an Actor in a Motion Picture - Comedy or Musical,2008
