,Actor,Movie,Year,Genre,Rating
0,Johnny Depp,Johnny Puff: Secret Mission,2024,['Animation'],5.7
1,Johnny Depp,Jeanne du Barry,2023,"['Biography', 'Drama', 'History']",6.7
2,Johnny Depp,Minamata,2020,['Drama'],7.2
3,Johnny Depp,Warten auf die Barbaren,2019,"['Drama', 'History']",5.9
4,Johnny Depp,City of Lies,2018,"['Biography', 'Crime', 'Drama']",6.5
5,Johnny Depp,Phantastische Tierwesen: Grindelwalds Verbrechen,2018,"['Adventure', 'Family', 'Fantasy']",6.5
6,Johnny Depp,The Professor,2018,"['Comedy', 'Drama']",6.7
7,Johnny Depp,London Fields,2018,"['Crime', 'Mystery', 'Thriller']",3.9
8,Johnny Depp,Sherlock Gnomes,2018,"['Animation', 'Adventure', 'Comedy']",5.2
9,Johnny Depp,Mord im Orient-Express,2017,"['Crime', 'Drama', 'Mystery']",6.5
10,Johnny Depp,Pirates of the Caribbean: Salazars Rache,2017,"['Action', 'Adventure', 'Fantasy']",6.5
11,Johnny Depp,Phantastische Tierwesen und wo sie zu finden sind,2016,"['Adventure', 'Family', 'Fantasy']",7.2
12,Johnny Depp,Alice im Wunderland: Hinter den Spiegeln,2016,"['Adventure', 'Family', 'Fantasy']",6.2
13,Johnny Depp,Yoga Hosers,2016,"['Action', 'Comedy', 'Horror']",4.2
14,Johnny Depp,Black Mass,2015,"['Biography', 'Crime', 'Drama']",6.8
15,Johnny Depp,Mortdecai - Der Teilzeitgauner,2015,"['Action', 'Adventure', 'Comedy']",5.5
16,Johnny Depp,Into the Woods,2014,"['Adventure', 'Comedy', 'Drama']",5.9
17,Johnny Depp,Tusk,2014,"['Comedy', 'Horror']",5.3
18,Johnny Depp,Transcendence,2014,"['Action', 'Drama', 'Sci-Fi']",6.2
19,Johnny Depp,Lucky Them - Auf der Suche nach Matthew Smith,2013,"['Comedy', 'Drama']",6.1
20,Johnny Depp,Lone Ranger,2013,"['Action', 'Adventure', 'Drama']",6.4
21,Johnny Depp,Dark Shadows,2012,"['Comedy', 'Fantasy', 'Horror']",6.2
22,Johnny Depp,21 Jump Street,2012,"['Action', 'Comedy', 'Crime']",7.2
23,Johnny Depp,Jack und Jill,2011,['Comedy'],3.3
24,Johnny Depp,Rum Diary,2011,"['Comedy', 'Drama']",6.1
25,Johnny Depp,Pirates of the Caribbean - Fremde Gezeiten,2011,"['Action', 'Adventure', 'Fantasy']",6.6
26,Johnny Depp,Rango,2011,"['Animation', 'Action', 'Adventure']",7.3
27,Johnny Depp,The Tourist,2010,"['Action', 'Thriller']",6.0
28,Johnny Depp,Alice im Wunderland,2010,"['Adventure', 'Family', 'Fantasy']",6.4
29,Johnny Depp,Public Enemies,2009,"['Action', 'Biography', 'Crime']",7.0
30,Johnny Depp,Das Kabinett des Doktor Parnassus,2009,"['Adventure', 'Comedy', 'Fantasy']",6.8
31,Johnny Depp,Sweeney Todd: Der teuflische Barbier aus der Fleet Street,2007,"['Drama', 'Horror', 'Musical']",7.3
32,Johnny Depp,Pirates of the Caribbean - Am Ende der Welt,2007,"['Action', 'Adventure', 'Fantasy']",7.1
33,Johnny Depp,Pirates of the Caribbean - Fluch der Karibik 2,2006,"['Action', 'Adventure', 'Fantasy']",7.4
34,Johnny Depp,Corpse Bride - Hochzeit mit einer Leiche,2005,"['Animation', 'Comedy', 'Drama']",7.4
35,Johnny Depp,Charlie und die Schokoladenfabrik,2005,"['Adventure', 'Comedy', 'Family']",6.7
36,Johnny Depp,"The Libertine - Sex, Drugs & Rococo",2004,"['Biography', 'Drama', 'History']",6.2
37,Johnny Depp,Wenn Träume fliegen lernen,2004,"['Biography', 'Drama', 'Family']",7.7
38,Johnny Depp,Happy End mit Hindernissen,2004,"['Comedy', 'Drama', 'Music']",6.4
39,Johnny Depp,Das geheime Fenster,2004,"['Drama', 'Mystery', 'Thriller']",6.5
40,Johnny Depp,Irgendwann in Mexico,2003,"['Action', 'Crime', 'Thriller']",6.3
41,Johnny Depp,Fluch der Karibik,2003,"['Action', 'Adventure', 'Fantasy']",8.1
42,Johnny Depp,From Hell,2001,"['Horror', 'Mystery', 'Thriller']",6.7
43,Johnny Depp,Blow,2001,"['Biography', 'Crime', 'Drama']",7.5
44,Johnny Depp,Chocolat... ein kleiner Biss genügt!,2000,"['Drama', 'Romance']",7.2
45,Johnny Depp,Bevor es Nacht wird,2000,"['Biography', 'Drama', 'Romance']",7.1
46,Johnny Depp,In stürmischen Zeiten,2000,"['Drama', 'Music', 'Romance']",6.1
47,Johnny Depp,Sleepy Hollow,1999,"['Fantasy', 'Horror', 'Mystery']",7.3
48,Johnny Depp,The Astronaut's Wife - Das Böse hat ein neues Gesicht,1999,"['Drama', 'Sci-Fi', 'Thriller']",5.4
49,Johnny Depp,Die neun Pforten,1999,"['Mystery', 'Thriller']",6.7
50,Johnny Depp,L.A. Without a Map,1998,"['Comedy', 'Drama', 'Romance']",6.0
51,Johnny Depp,Angst und Schrecken in Las Vegas,1998,"['Adventure', 'Comedy', 'Drama']",7.5
52,Johnny Depp,The Brave,1997,['Drama'],6.1
53,Johnny Depp,Donnie Brasco,1997,"['Biography', 'Crime', 'Drama']",7.7
54,Johnny Depp,Cannes Man,1996,"['Comedy', 'Drama']",5.1
55,Johnny Depp,Gegen die Zeit,1995,"['Action', 'Crime', 'Drama']",6.3
56,Johnny Depp,Dead Man,1995,"['Adventure', 'Drama', 'Fantasy']",7.5
57,Johnny Depp,Don Juan DeMarco,1994,"['Comedy', 'Drama', 'Romance']",6.7
58,Johnny Depp,Ed Wood,1994,"['Biography', 'Comedy', 'Drama']",7.8
59,Johnny Depp,Gilbert Grape - Irgendwo in Iowa,1993,['Drama'],7.7
60,Johnny Depp,Benny und Joon,1993,"['Comedy', 'Drama', 'Romance']",7.1
61,Johnny Depp,Arizona Dream,1993,"['Comedy', 'Drama', 'Fantasy']",7.2
62,Johnny Depp,A Nightmare on Elm Street 6: Freddy's Finale,1991,"['Fantasy', 'Horror']",4.7
63,Johnny Depp,Edward mit den Scherenhänden,1990,"['Drama', 'Fantasy', 'Romance']",7.9
64,Johnny Depp,Cry-Baby,1990,"['Comedy', 'Musical']",6.5
65,Johnny Depp,Platoon,1986,"['Drama', 'War']",8.1
66,Johnny Depp,Die Superaufreißer,1985,['Comedy'],5.2
67,Johnny Depp,Nightmare - Mörderische Träume,1984,['Horror'],7.4
68,Al Pacino,A Killer's Memory,2023,['Thriller'],6.9
69,Al Pacino,House of Gucci,2021,"['Biography', 'Crime', 'Drama']",6.6
70,Al Pacino,American Traitor: The Trial of Axis Sally,2021,"['Drama', 'History', 'War']",5.7
71,Al Pacino,The Irishman,2019,"['Biography', 'Crime', 'Drama']",7.8
72,Al Pacino,Once Upon a Time In... Hollywood,2019,"['Comedy', 'Drama']",7.6
73,Al Pacino,Hangman: The Killing Game,2017,"['Crime', 'Drama', 'Horror']",5.2
74,Al Pacino,The Pirates of Somalia,2017,"['Biography', 'Drama']",6.7
75,Al Pacino,Ruf der Macht - Im Sumpf der Korruption,2016,"['Crime', 'Drama', 'Mystery']",5.3
76,Al Pacino,Mr. Collins' zweiter Frühling,2015,"['Comedy', 'Drama', 'Music']",7.0
77,Al Pacino,Manglehorn - Schlüssel zum Glück,2014,['Drama'],5.5
78,Al Pacino,Der letzte Akt,2014,"['Comedy', 'Drama', 'Romance']",5.6
79,Al Pacino,Salomé,2013,['Drama'],6.3
80,Al Pacino,No somos animales,2013,"['Comedy', 'Drama']",4.8
81,Al Pacino,Stand Up Guys,2012,"['Comedy', 'Crime', 'Thriller']",6.4
82,Al Pacino,Jack und Jill,2011,['Comedy'],3.3
83,Al Pacino,Ein Cop mit dunkler Vergangenheit,2011,"['Action', 'Crime', 'Drama']",5.1
84,Al Pacino,Kurzer Prozess - Righteous Kill,2008,"['Crime', 'Mystery', 'Thriller']",6.0
85,Al Pacino,Ocean's 13,2007,"['Crime', 'Thriller']",6.9
86,Al Pacino,88 Minuten,2007,"['Crime', 'Drama', 'Mystery']",5.9
87,Al Pacino,Das schnelle Geld,2005,"['Crime', 'Drama', 'Sport']",6.2
88,Al Pacino,Der Kaufmann von Venedig,2004,"['Drama', 'Romance']",7.0
89,Al Pacino,Liebe mit Risiko - Gigli,2003,"['Comedy', 'Crime', 'Romance']",2.6
90,Al Pacino,Der Einsatz,2003,"['Action', 'Thriller']",6.6
91,Al Pacino,Im inneren Kreis,2002,"['Crime', 'Drama', 'Mystery']",5.4
92,Al Pacino,S1m0ne,2002,"['Comedy', 'Drama', 'Sci-Fi']",6.1
93,Al Pacino,Insomnia - Schlaflos,2002,"['Drama', 'Mystery', 'Thriller']",7.2
94,Al Pacino,Chinese Coffee,2000,['Drama'],7.1
95,Al Pacino,An jedem verdammten Sonntag,1999,"['Drama', 'Sport']",6.9
96,Al Pacino,Insider,1999,"['Biography', 'Drama', 'History']",7.8
97,Al Pacino,Im Auftrag des Teufels,1997,"['Drama', 'Fantasy', 'Mystery']",7.5
98,Al Pacino,Donnie Brasco,1997,"['Biography', 'Crime', 'Drama']",7.7
99,Al Pacino,City Hall,1996,"['Crime', 'Drama', 'Mystery']",6.2
100,Al Pacino,Heat,1995,"['Action', 'Crime', 'Drama']",8.3
101,Al Pacino,Two Bits,1995,"['Comedy', 'Drama']",6.1
